name                         tokens   tokens%      docs
total                       863,033   100.00%     13788
train                       683,716    79.22%     10971
test                        100,761    11.68%      1442
dev                          78,556     9.10%      1375

total                       863,033   100.00%     13788
1200-1300                   140,048    16.23%       224
1300-1400                   176,971    20.51%      3788
1400-1500                    52,538     6.09%      2318
1500-1600                   171,277    19.85%      1929
1600-1700                    87,675    10.16%      2041
1600-1800                    63,227     7.33%       112
1700-1800                    57,552     6.67%      1796
1800-1900                   113,745    13.18%      1580

1200-1300                   140,048   100.00%       224
gysseling-literair           73,195    52.26%        29
gysseling-ambtelijk          66,853    47.74%       195

1300-1400                   176,971   100.00%      3788
crm                         123,913    70.02%       597
dictionary-quotations-14     53,058    29.98%      3191

1400-1500                    52,538   100.00%      2318
dictionary-quotations-15     42,537    80.96%      2316
dbnl-excerpts-15             10,001    19.04%         2

1500-1600                   171,277   100.00%      1929
gentse-spelen                87,913    51.33%         1
dictionary-quotations-16     46,034    26.88%      1838
clvn                         27,204    15.88%        88
dbnl-excerpts-16             10,126     5.91%         2

1600-1700                    87,675   100.00%      2041
dictionary-quotations-17     46,287    52.79%      1919
couranten                    29,674    33.85%       119
dbnl-excerpts-17             11,714    13.36%         3

1600-1800                    63,227   100.00%       112
letters-as-loot              63,227   100.00%       112

1700-1800                    57,552   100.00%      1796
dictionary-quotations-18     47,485    82.51%      1794
dbnl-excerpts-18             10,067    17.49%         2

1800-1900                   113,745   100.00%      1580
kranten-19                   63,279    55.63%        27
dictionary-quotations-19     35,006    30.78%      1550
dbnl-excerpts-19             15,460    13.59%         3

total                       863,033   100.00%     13788
crm                         123,913    14.36%       597
gentse-spelen                87,913    10.19%         1
gysseling-literair           73,195     8.48%        29
gysseling-ambtelijk          66,853     7.75%       195
kranten-19                   63,279     7.33%        27
letters-as-loot              63,227     7.33%       112
dictionary-quotations-14     53,058     6.15%      3191
dictionary-quotations-18     47,485     5.50%      1794
dictionary-quotations-17     46,287     5.36%      1919
dictionary-quotations-16     46,034     5.33%      1838
dictionary-quotations-15     42,537     4.93%      2316
dictionary-quotations-19     35,006     4.06%      1550
couranten                    29,674     3.44%       119
clvn                         27,204     3.15%        88
dbnl-excerpts-19             15,460     1.79%         3
dbnl-excerpts-17             11,714     1.36%         3
dbnl-excerpts-16             10,126     1.17%         2
dbnl-excerpts-18             10,067     1.17%         2
dbnl-excerpts-15             10,001     1.16%         2

train                       683,716   100.00%     10971
crm                         100,434    14.69%       486
gentse-spelen                87,913    12.86%         1
gysseling-literair           59,771     8.74%        22
letters-as-loot              52,656     7.70%        96
gysseling-ambtelijk          48,686     7.12%       140
kranten-19                   48,122     7.04%        21
dictionary-quotations-14     42,808     6.26%      2569
dictionary-quotations-18     37,409     5.47%      1405
dictionary-quotations-16     37,004     5.41%      1483
dictionary-quotations-17     35,970     5.26%      1506
dictionary-quotations-15     33,981     4.97%      1836
dictionary-quotations-19     27,960     4.09%      1241
clvn                         22,130     3.24%        71
couranten                    21,713     3.18%        89
dbnl-excerpts-17              6,562     0.96%         1
dbnl-excerpts-19              5,373     0.79%         1
dbnl-excerpts-16              5,109     0.75%         1
dbnl-excerpts-15              5,058     0.74%         1
dbnl-excerpts-18              5,057     0.74%         1

test                        100,761   100.00%      1442
crm                          11,463    11.38%        53
kranten-19                   10,077    10.00%         4
gysseling-literair            8,700     8.63%         3
gysseling-ambtelijk           8,545     8.48%        26
dictionary-quotations-14      5,629     5.59%       326
dictionary-quotations-17      5,627     5.58%       231
dictionary-quotations-18      5,388     5.35%       202
dbnl-excerpts-17              5,054     5.02%         1
dbnl-excerpts-19              5,053     5.01%         1
dbnl-excerpts-16              5,017     4.98%         1
dbnl-excerpts-18              5,010     4.97%         1
dbnl-excerpts-15              4,943     4.91%         1
dictionary-quotations-16      4,344     4.31%       181
dictionary-quotations-15      4,092     4.06%       227
dictionary-quotations-19      3,629     3.60%       157
letters-as-loot               3,086     3.06%         7
clvn                          2,579     2.56%         9
couranten                     2,525     2.51%        11
gentse-spelen                     0     0.00%         0

dev                          78,556   100.00%      1375
crm                          12,016    15.30%        58
gysseling-ambtelijk           9,622    12.25%        29
letters-as-loot               7,485     9.53%         9
couranten                     5,436     6.92%        19
kranten-19                    5,080     6.47%         2
dbnl-excerpts-19              5,034     6.41%         1
gysseling-literair            4,724     6.01%         4
dictionary-quotations-17      4,690     5.97%       182
dictionary-quotations-18      4,688     5.97%       187
dictionary-quotations-16      4,686     5.97%       174
dictionary-quotations-14      4,621     5.88%       296
dictionary-quotations-15      4,464     5.68%       253
dictionary-quotations-19      3,417     4.35%       152
clvn                          2,495     3.18%         8
dbnl-excerpts-17                 98     0.12%         1
dbnl-excerpts-15                  0     0.00%         0
dbnl-excerpts-16                  0     0.00%         0
dbnl-excerpts-18                  0     0.00%         0
gentse-spelen                     0     0.00%         0

crm                         123,913   100.00%       597
train                       100,434    81.05%       486
dev                          12,016     9.70%        58
test                         11,463     9.25%        53

gentse-spelen                87,913   100.00%         1
train                        87,913   100.00%         1
test                              0     0.00%         0
dev                               0     0.00%         0

gysseling-literair           73,195   100.00%        29
train                        59,771    81.66%        22
test                          8,700    11.89%         3
dev                           4,724     6.45%         4

gysseling-ambtelijk          66,853   100.00%       195
train                        48,686    72.83%       140
dev                           9,622    14.39%        29
test                          8,545    12.78%        26

kranten-19                   63,279   100.00%        27
train                        48,122    76.05%        21
test                         10,077    15.92%         4
dev                           5,080     8.03%         2

letters-as-loot              63,227   100.00%       112
train                        52,656    83.28%        96
dev                           7,485    11.84%         9
test                          3,086     4.88%         7

dictionary-quotations-14     53,058   100.00%      3191
train                        42,808    80.68%      2569
test                          5,629    10.61%       326
dev                           4,621     8.71%       296

dictionary-quotations-18     47,485   100.00%      1794
train                        37,409    78.78%      1405
test                          5,388    11.35%       202
dev                           4,688     9.87%       187

dictionary-quotations-17     46,287   100.00%      1919
train                        35,970    77.71%      1506
test                          5,627    12.16%       231
dev                           4,690    10.13%       182

dictionary-quotations-16     46,034   100.00%      1838
train                        37,004    80.38%      1483
dev                           4,686    10.18%       174
test                          4,344     9.44%       181

dictionary-quotations-15     42,537   100.00%      2316
train                        33,981    79.89%      1836
dev                           4,464    10.49%       253
test                          4,092     9.62%       227

dictionary-quotations-19     35,006   100.00%      1550
train                        27,960    79.87%      1241
test                          3,629    10.37%       157
dev                           3,417     9.76%       152

couranten                    29,674   100.00%       119
train                        21,713    73.17%        89
dev                           5,436    18.32%        19
test                          2,525     8.51%        11

clvn                         27,204   100.00%        88
train                        22,130    81.35%        71
test                          2,579     9.48%         9
dev                           2,495     9.17%         8

dbnl-excerpts-19             15,460   100.00%         3
train                         5,373    34.75%         1
test                          5,053    32.68%         1
dev                           5,034    32.56%         1

dbnl-excerpts-17             11,714   100.00%         3
train                         6,562    56.02%         1
test                          5,054    43.14%         1
dev                              98     0.84%         1

dbnl-excerpts-16             10,126   100.00%         2
train                         5,109    50.45%         1
test                          5,017    49.55%         1
dev                               0     0.00%         0

dbnl-excerpts-18             10,067   100.00%         2
train                         5,057    50.23%         1
test                          5,010    49.77%         1
dev                               0     0.00%         0

dbnl-excerpts-15             10,001   100.00%         2
train                         5,058    50.57%         1
test                          4,943    49.43%         1
dev                               0     0.00%         0

